ResponseID,GQ_1,GW_2,GQ_3,GQ_4,GQ_5,SCS_1,SCS_2,SCS_3,SCS_4,SCS_5,SCS_6,SCS_7,SCS_8,SCS_9,SCS_10,SCS_11,gender,age,race
R_03BbbBP3hZVQ,1,1,1,1,1,3,2,7,7,1,3,7,2,7,7,1,2,20,5
R_sBUGSEqxLULqF,1,6,2,5,2,3,6,5,6,5,3,5,6,7,5,1,2,20,4
R_sB2HQEHzsI,1,3,1,2,1,5,6,6,5,6,6,5,6,5,5,3,2,20,5
R_sN57kcmL4OZM,1,6,1,3,2,2,5,2,6,5,2,4,4,7,6,3,2,20,4
R_sx24vGspVOEm0,1,6,2,2,1,3,4,6,6,3,6,3,5,6,6,3,2,20,4
R_sFRGH7IlLiN9,1,5,4,7,1,6,5,1,5,5,5,6,6,3,5,6,2,20,4
R_sFf6CH9sI8V,1,1,4,5,1,4,5,5,5,5,5,2,4,7,7,3,2,21,4
R_sgSccUr9UNBE,1,1,2,4,2,4,6,3,5,5,5,5,3,5,6,5,2,22,4
R_sirfvr6phLZsK,1,1,1,4,1,2,5,6,6,4,2,4,4,6,5,2,3,22,6
R_sKl666uXFz,1,3,2,1,1,5,4,5,7,4,4,5,3,5,4,3,3,23,5
R_sKNkLfiNlnCv,2,3,3,5,2,5,7,2,3,7,5,5,3,5,2,5,2,19,4
R_sKr6Pr3l9C,2,1,3,5,2,6,6,3,4,6,4,2,6,5,4,5,2,20,4
R_sLGe6skg2ePOL,2,6,7,4,3,6,7,2,2,7,6,7,2,1,2,6,2,20,4
R_sLIpsVQxOQU,2,3,1,3,1,4,6,7,5,7,4,5,6,6,5,3,2,20,5
R_smCNenlX2pC2g,2,5,3,5,3,5,6,2,4,6,5,5,7,4,5,5,2,20,5
R_sms0ssHsosO,2,3,5,2,6,6,7,1,2,7,5,7,4,2,2,5,2,20,6
R_sNesiGHPMMSXM,2,6,5,1,2,3,5,5,3,5,3,5,6,6,3,5,2,20,5
R_sNfSspoxIozV,2,4,5,3,2,6,6,5,5,6,5,4,4,5,3,5,2,20,3
R_snVoXH7f5sxOI,2,4,4,2,5,2,3,6,5,3,4,4,7,5,4,4,1,21,1
R_souk8l2sSr9,2,5,5,6,3,4,5,2,5,5,3,4,3,4,3,2,2,21,4
R_2siBohSXhFRN,2,2,3,3,2,2,6,6,5,6,3,3,4,6,6,2,3,21,6
R_22lufNZ824FkM0n,2,4,4,3,5,3,6,4,6,7,4,3,7,5,5,4,2,22,4
R_25FLNoXgzIlh3,2,3,2,3,2,6,7,2,1,7,6,6,5,2,2,3,2,22,4
R_25HI6o62qUuz5PO,2,5,4,3,2,6,4,7,6,4,4,2,4,6,5,2,2,24,4
R_27eHXC3qxS,2,3,3,2,2,2,4,3,2,3,2,2,5,2,2,3,3,40,6
R_2x2uhN3R3o,2,3,3,3,3,6,3,4,3,7,4,7,6,5,3,6,3,48,6
R_2BnVVoQ3SeXqh,3,5,5,3,5,5,2,2,2,5,4,5,6,2,1,5,1,19,1
R_2bVGsrLk9Leu,3,5,3,6,3,4,3,5,5,3,4,5,3,4,4,4,2,20,4
R_2EF6CSl0Z6o7Gs,3,6,,7,7,5,5,1,2,5,5,4,6,2,3,6,1,20,1
R_2EfOUp0NiqIn,3,7,7,7,4,7,5,1,1,7,7,7,4,1,1,7,1,20,3
R_2ElVENpuE7Qp,3,4,4,5,3,3,5,5,4,5,5,3,6,5,4,3,2,20,4
R_2eXuQNgmpNrXoB,3,4,3,4,2,5,6,2,4,6,4,4,4,4,2,4,2,20,5
R_2f9vOiBnRkP,3,3,7,4,7,6,2,6,3,2,5,7,6,5,3,5,2,21,5
R_2pZ8N6xxH3Ur,3,5,5,5,6,6,7,2,2,5,6,6,5,2,3,6,2,21,4
R_2pXXM8vFUmF,3,2,3,6,5,5,6,7,3,6,3,5,6,1,2,5,3,21,2
R_2qm4ri7vr2N,3,2,4,6,6,5,5,3,4,5,5,5,4,4,2,4,2,21,4
R_2rBMsoE9OxkHXM,3,5,3,5,2,6,3,1,2,6,5,6,5,3,2,4,2,22,4
R_2rHEfo5zmrO4,3,5,6,5,6,5,6,1,1,6,6,7,3,2,3,6,1,23,3
R_2rVevxOr8GF,3,3,4,3,3,3,3,6,5,3,5,3,7,5,5,3,2,29,5
R_2uCEhBN0XxXsI,3,5,6,5,4,6,7,1,1,7,6,6,6,1,1,6,1,32,3
R_2u4nNbsV9E3Cp,4,5,5,5,4,5,6,3,5,5,5,5,4,5,4,5,2,19,6
R_2UqcZ9RGlN,4,4,6,5,2,7,6,4,4,6,5,6,6,5,5,6,2,20,4
R_2VfQbNFMzPZN,4,5,4,3,6,5,6,5,3,6,5,4,4,6,5,4,2,20,4
R_2Vrp5feU04cuV,4,5,4,4,3,6,5,1,1,6,6,6,5,2,2,6,1,20,1
R_2OIcNRQnsX5Z,4,2,6,6,1,5,7,2,5,7,3,5,6,3,5,5,2,20,5
R_24IEB8sl7Febp,4,4,5,5,4,4,6,3,4,4,4,5,7,5,4,5,2,21,4
R_2LIrXzrFou,4,4,4,4,4,4,7,4,4,6,4,4,5,4,4,4,2,22,4
R_2ZEPGC2gh8fmb,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,2,22,4
R_30sSxxIGcqskpUv,5,6,7,5,6,3,6,2,5,6,3,3,6,5,5,5,2,19,4
R_307zso4cKEuuO,5,3,5,5,3,6,6,2,3,6,5,6,5,3,3,5,2,19,4
R_3sMzi0ShmkpQV,5,2,7,6,2,5,5,3,1,7,2,6,3,2,5,2,2,19,3
R_33B8zU6Msieq4,5,5,4,3,2,4,4,5,6,4,4,4,5,6,5,3,2,19,4
R_3GsnmNOikBR,5,6,6,6,7,4,7,2,3,7,6,6,7,5,4,6,2,20,4
R_3iN44gvC0g,5,6,4,6,3,4,6,3,5,5,5,4,4,5,5,4,2,20,5
R_3gUfPrzMm6EMNNH,5,6,6,4,5,6,4,5,3,4,7,6,3,3,3,6,2,20,3
R_3HHNfHzqgZS5,5,5,6,5,6,5,7,3,5,7,5,6,6,5,5,5,1,20,1
R_3Hoi0GCMuHQGmf,5,5,7,4,5,6,5,1,1,5,6,6,6,2,1,6,1,20,1
R_3iKen5QO7Lg9,5,3,5,5,2,5,6,6,5,5,5,5,6,6,5,5,2,20,4
R_3L9rZxg2sBu,5,5,4,5,6,5,7,1,2,7,5,7,7,4,3,7,1,20,3
R_3lMvr70LSphgH,5,5,,3,5,6,6,4,2,6,6,6,6,2,3,6,2,20,5
R_3M6uQg3Ubc5C,5,3,5,5,5,6,7,1,5,7,6,7,5,4,2,6,1,20,3
R_3M9fmfOkgkB3s,5,5,5,6,3,3,3,6,5,2,3,3,4,5,4,3,2,21,5
R_3M4uBiUNqu,5,5,5,6,3,6,7,5,2,7,7,6,6,1,1,7,2,21,6
R_3nigImNsKs,5,6,7,6,5,7,6,1,1,7,7,7,7,1,1,7,1,21,3
R_3PN7bcVpvUF2,5,3,3,4,3,6,7,6,4,6,6,4,6,4,4,3,2,21,4
R_3r0nURe2vuZ72,5,4,5,5,5,3,4,4,5,4,3,4,4,5,5,4,2,21,4
R_3Rkqzz4HEf0O,5,5,5,5,1,5,6,7,6,6,3,5,5,6,5,3,3,21,5
R_8uiIbSsofCs,5,6,6,6,6,6,6,1,2,6,6,6,7,1,2,6,2,21,4
R_9GiKkPePMn99sn,5,7,7,7,7,7,6,1,1,7,7,7,5,2,1,7,1,22,3
R_cx7PGG5nLg9K9,5,5,7,7,4,7,5,1,1,6,7,7,7,1,1,7,1,22,3
R_345ZQlnMkz7,5,5,5,5,5,6,7,2,2,5,6,6,7,2,2,6,1,23,3
R_eFqH7klR56Gl,5,6,5,5,3,7,7,2,5,7,6,6,6,6,5,4,1,48,1
R_R7V8le7RHzRnB,5,5,6,5,3,4,4,5,4,4,5,4,5,5,6,5,2,49,4
R_reFFBKZ7l9l,6,6,6,7,5,6,7,2,2,7,6,6,7,3,2,6,1,19,1
R_sc03fpsp7CeR,6,7,7,7,4,4,6,4,4,6,4,6,4,4,4,7,1,20,3
R_SNMxuHNG57,6,6,6,6,5,6,7,1,1,6,6,6,6,2,1,6,2,20,4
R_uxChHvNnfsBL,6,7,6,7,6,5,5,2,5,5,6,5,3,2,2,4,1,21,3
R_VIksRsnInSkV,6,4,2,6,3,6,3,6,5,3,5,5,4,5,5,3,2,21,4
R_VX7UgSN9BxP,6,5,6,6,3,7,7,1,1,7,7,7,7,3,1,7,2,21,4
R_vx7s0sbBh63SMs,6,7,7,7,6,6,6,1,1,7,7,6,4,2,1,7,1,22,3
